DATE,HOST_NAME,HOST_IP,Vuln_Num,Severity,Group_Title,Rule_ID,Rule_Ver,Rule_Title,Fix_Text,STATUS,FINDING_DETAILS,COMMENTS,Unique_ID
20230718,test.hostname,192.168.1.256,V-222387,medium,SRG-APP-000001,SV-222387r508029_rule,APSC-DV-000010,The application must provide a capability to limit the number of logon sessions per user.,Design and configure the application to specify the number of logon sessions that are allowed per user.,Not_Reviewed,,,test.hostname-SV-222387r508029_rule-20230718
20230718,test.hostname,192.168.1.256,V-222388,medium,SRG-APP-000295,SV-222388r508029_rule,APSC-DV-000060,The application must clear temporary storage and cookies when the session is terminated.,Design and configure the application to clear sensitive data from cookies and local storage when the user logs out of the application.,Not_Reviewed,,,test.hostname-SV-222388r508029_rule-20230718
20230718,test.hostname,192.168.1.256,V-222389,medium,SRG-APP-000295,SV-222389r508029_rule,APSC-DV-000070,The application must automatically terminate the non-privileged user session and log off non-privileged users after a 15 minute idle time period has elapsed.,Design and configure the application to terminate the non-privileged users session after 15 minutes of inactivity.,Not_Reviewed,,,test.hostname-SV-222389r508029_rule-20230718
20230718,test.hostname,192.168.1.256,V-222390,medium,SRG-APP-000295,SV-222390r508029_rule,APSC-DV-000080,The application must automatically terminate the admin user session and log off admin users after a 10 minute idle time period is exceeded.,Design and configure the application to terminate the admin users session after 10 minutes of inactivity.,Not_Reviewed,,,test.hostname-SV-222390r508029_rule-20230718
20230718,test.hostname,192.168.1.256,V-222391,medium,SRG-APP-000296,SV-222391r508029_rule,APSC-DV-000090,Applications requiring user access authentication must provide a logoff capability for user initiated communication session.,Design and configure the application to provide all users with the capability to manually terminate their application session.,Not_Reviewed,,,test.hostname-SV-222391r508029_rule-20230718
20230718,test.hostname,192.168.1.256,V-222392,low,SRG-APP-000297,SV-222392r508029_rule,APSC-DV-000100,The application must display an explicit logoff message to users indicating the reliable termination of authenticated communications sessions.,Design and configure the application to provide an explicit logoff message to users indicating a successful logoff has occurred upon user session termination.,Not_Reviewed,,,test.hostname-SV-222392r508029_rule-20230718
20230718,test.hostname,192.168.1.256,V-222393,medium,SRG-APP-000311,SV-222393r508029_rule,APSC-DV-000110,The application must associate organization-defined types of security attributes having organization-defined security attribute values with information in storage.,Design and configure the application to assign data marking and ensure the marking is retained when the data is stored.,Not_Reviewed,,,test.hostname-SV-222393r508029_rule-20230718
20230718,test.hostname,192.168.1.256,V-222394,medium,SRG-APP-000313,SV-222394r508029_rule,APSC-DV-000120,The application must associate organization-defined types of security attributes having organization-defined security attribute values with information in process.,Design and configure the application to retain the data marking when processing data.,Not_Reviewed,,,test.hostname-SV-222394r508029_rule-20230718
20230718,test.hostname,192.168.1.256,V-222395,medium,SRG-APP-000314,SV-222395r508029_rule,APSC-DV-000130,The application must associate organization-defined types of security attributes having organization-defined security attribute values with information in transmission.,Design and configure the application to retain the data marking when transmitting data.,OPEN,These are finding details,This is a comment.,test.hostname-SV-222395r508029_rule-20230718
20230718,test.hostname,192.168.1.256,V-222396,medium,SRG-APP-000014,SV-222396r508029_rule,APSC-DV-000160,The application must implement DoD-approved encryption to protect the confidentiality of remote access sessions.,Design and configure applications to use TLS encryption to protect the confidentiality of remote access sessions.,Not_Reviewed,,,test.hostname-SV-222396r508029_rule-20230718
